Row ID	Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Customer Name	Segment	Country	City	State	Postal Code	Region	Product ID	Category	Sub-Category	Product Name	Sales	Quantity	Discount	Profit
1	CA-2016-152156	11/8/16	11/11/16	Second Class	CG-12520	Claire Gute	Consumer	United States	Henderson	Kentucky	42420	South	FUR-BO-10001798	Furniture	Bookcases	"Bush, Somerset Collection Bookcase?"	261.96	2	0	41.9136
2	CA-2016-152156	11/8/16	11/11/16	Second Class	CG-12520	Claire Gute	Consumer	United States	Henderson	Kentucky	42420	South	FUR-CH-10000454	Furniture	Chairs	Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back	731.94	3	0	219.582
3	CA-2016-138688	6/12/16	6/16/16	Second Class	DV-13045	Darrin Van Huff	Corporate	United States	Los Angeles	California	90036	West	OFF-LA-10000240	Office Supplies	Labels	Self-Adhesive Address Labels for Typewriters by Universal	14.62	2	0	6.8714
4	US-2015-108966	10/11/15	10/18/15	Standard Class	SO-20335	Sean O'Donnell	Consumer	United States	Fort Lauderdale	Florida	33311	South	FUR-TA-10000577	Furniture	Tables	Bretford CR4500 Series Slim Rectangular Table	957.5775	5	0.45	-383.031
5	US-2015-108966	10/11/15	10/18/15	Standard Class	SO-20335	Sean O'Donnell	Consumer	United States	Fort Lauderdale	Florida	33311	South	OFF-ST-10000760	Office Supplies	Storage	Eldon Fold 'N Roll Cart System	22.368	2	0.2	2.5164
6	CA-2014-115812	6/9/14	6/14/14	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	FUR-FU-10001487	Furniture	Furnishings	Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood	48.86	7	0	14.1694
7	CA-2014-115812	6/9/14	6/14/14	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	OFF-AR-10002833	Office Supplies	Art	Newell 322	7.28	4	0	1.9656
8	CA-2014-115812	6/9/14	6/14/14	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	TEC-PH-10002275	Technology	Phones	Mitel 5320 IP Phone VoIP phone	907.152	6	0.2	90.7152
9	CA-2014-115812	6/9/14	6/14/14	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	OFF-BI-10003910	Office Supplies	Binders	DXL Angle-View Binders with Locking Rings by Samsill	18.504	3	0.2	5.7825
10	CA-2014-115812	6/9/14	6/14/14	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	OFF-AP-10002892	Office Supplies	Appliances	Belkin F5C206VTEL 6 Outlet Surge	114.9	5	0	34.47
11	CA-2014-115812	6/9/14	6/14/14	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	FUR-TA-10001539	Furniture	Tables	Chromcraft Rectangular Conference Tables	1706.184	9	0.2	85.3092
12	CA-2014-115812	6/9/14	6/14/14	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	TEC-PH-10002033	Technology	Phones	Konftel 250 Conference phone - Charcoal black	911.424	4	0.2	68.3568
13	CA-2017-114412	4/15/17	4/20/17	Standard Class	AA-10480	Andrew Allen	Consumer	United States	Concord	North Carolina	28027	South	OFF-PA-10002365	Office Supplies	Paper	Xerox 1967	15.552	3	0.2	5.4432
14	CA-2016-161389	12/5/16	12/10/16	Standard Class	IM-15070	Irene Maddox	Consumer	United States	Seattle	Washington	98103	West	OFF-BI-10003656	Office Supplies	Binders	Fellowes PB200 Plastic Comb Binding Machine	407.976	3	0.2	132.5922
15	US-2015-118983	11/22/15	11/26/15	Standard Class	HP-14815	Harold Pawlan	Home Office	United States	Fort Worth	Texas	76106	Central	OFF-AP-10002311	Office Supplies	Appliances	Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter	68.81	5	0.8	-123.858
16	US-2015-118983	11/22/15	11/26/15	Standard Class	HP-14815	Harold Pawlan	Home Office	United States	Fort Worth	Texas	76106	Central	OFF-BI-10000756	Office Supplies	Binders	Storex DuraTech Recycled Plastic Frosted Binders	2.544	3	0.8	-3.816
17	CA-2014-105893	11/11/14	11/18/14	Standard Class	PK-19075	Pete Kriz	Consumer	United States	Madison	Wisconsin	53711	Central	OFF-ST-10004186	Office Supplies	Storage	Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36"W x 18 1/2"D	665.88	6	0	13.3176
18	CA-2014-167164	5/13/14	5/15/14	Second Class	AG-10270	Alejandro Grove	Consumer	United States	West Jordan	Utah	84084	West	OFF-ST-10000107	Office Supplies	Storage	Fellowes Super Stor/Drawer	55.5	2	0	9.99
19	CA-2014-143336	8/27/14	9/1/14	Second Class	ZD-21925	Zuschuss Donatelli	Consumer	United States	San Francisco	California	94109	West	OFF-AR-10003056	Office Supplies	Art	Newell 341	8.56	2	0	2.4824
20	CA-2014-143336	8/27/14	9/1/14	Second Class	ZD-21925	Zuschuss Donatelli	Consumer	United States	San Francisco	California	94109	West	TEC-PH-10001949	Technology	Phones	Cisco SPA 501G IP Phone	-213.48	3	0.2	16.011
21	CA-2014-143336	8/27/14	9/1/14	Second Class	ZD-21925	Zuschuss Donatelli	Consumer	United States	San Francisco	California	94109	West	OFF-BI-10002215	Office Supplies	Binders	Wilson Jones Hanging View Binder, White, 1"	22.72	4	0.2	7.384
22	CA-2016-137330	12/9/16	12/13/16	Standard Class	KB-16585	Ken Black	Corporate	United States	Fremont	Nebraska	68025	Central	OFF-AR-10000246	Office Supplies	Art	Newell 318	19.46	7	0	5.0596
23	CA-2016-137330	12/9/16	12/13/16	Standard Class	KB-16585	Ken Black	Corporate	United States	Fremont	Nebraska	68025	Central	OFF-AP-10001492	Office Supplies	Appliances	Acco Six-Outlet Power Strip, 4' Cord Length	Art	7	0	15.6884
24	US-2017-156909	7/16/17	7/18/17	Second Class	SF-20065	Sandra Flanagan	Consumer	United States	Philadelphia	Pennsylvania	19140	East	FUR-CH-10002774	Furniture	Chairs	Global Deluxe Stacking Chair, Gray	71.372	2	0.3	-1.0196
25	CA-2015-106320	9/25/15	9/30/15	Standard Class	EB-13870	Emily Burns	Consumer	United States	Orem	Utah	84057	West	FUR-TA-10000577	Furniture	Tables	Bretford CR4500 Series Slim Rectangular Table	1044.63	3	0	240.2649
26	CA-2016-121755	1/16/16	1/20/16	Second Class	EH-13945	Eric Hoffmann	Consumer	United States	Los Angeles	California	90049	West	OFF-BI-10001634	Office Supplies	Binders	Wilson Jones Active Use Binders	11.648	2	0.2	4.2224
27	CA-2016-121755	1/16/16	1/20/16	Second Class	EH-13945	Eric Hoffmann	Consumer	United States	Los Angeles	California	90049	West	TEC-AC-10003027	Technology	Accessories	Imation 8GB Mini TravelDrive USB 2.0 Flash Drive	90.57	3	0	11.7741
28	US-2015-150630	9/17/15	9/21/15	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	FUR-BO-10004834	Furniture	Bookcases	Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish	3083.43	7	0.5	-1665.0522
29	US-2015-150630	9/17/15	9/21/15	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-BI-10000474	Office Supplies	Binders	Avery Recycled Flexi-View Covers for Binding Systems	9.618	2	0.7	-7.0532
30	US-2015-150630	9/17/15	9/21/15	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	FUR-FU-10004848	Furniture	Furnishings	Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock	124.2	3	0.2	15.525
31	US-2015-150630	9/17/15	9/21/15	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-EN-10001509	Office Supplies	Envelopes	Poly String Tie Envelopes	3.264	2	0.2	1.1016
32	US-2015-150630	9/17/15	9/21/15	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-AR-10004042	Office Supplies	Art	BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain	86.304	6	0.2	9.7092
33	US-2015-150630	9/17/15	9/21/15	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-BI-10001525	Office Supplies	Binders	Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11", Executive Red	6.858	6	0.7	-5.715
34	US-2015-150630	9/17/15	9/21/15	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-AR-10001683	Office Supplies	Art	Lumber Crayons	15.76	2	0.2	3.546
35	CA-2017-107727	10/19/17	10/23/17	Second Class	MA-17560	Matt Abelman	Home Office	United States	Houston	Texas	77095	Central	OFF-PA-10000249	Office Supplies	Paper	Easy-staple paper	29.472	3	0.2	9.9468
36	CA-2016-117590	12/8/16	12/10/16	First Class	GH-14485	Gene Hale	Corporate	United States	Richardson	Texas	75080	Central	TEC-PH-10004977	Technology	Phones	GE 30524EE4	1097.544	7	0.2	123.4737
37	CA-2016-117590	12/8/16	12/10/16	First Class	GH-14485	Gene Hale	Corporate	United States	Richardson	Texas	75080	Central	FUR-FU-10003664	Furniture	Furnishings	Electrix Architect's Clamp-On Swing Arm Lamp, Black	190.92	5	0.6	-147.963
38	CA-2015-117415	12/27/15	12/31/15	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	OFF-EN-10002986	Office Supplies	Envelopes	#10-4 1/8" x 9 1/2" Premium Diagonal Seam Envelopes	113.328	9	0.2	35.415
39	CA-2015-117415	12/27/15	12/31/15	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	FUR-BO-10002545	Furniture	Bookcases	Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors	532.3992	3	0.32	-46.9764
40	CA-2015-117415	12/27/15	12/31/15	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	FUR-CH-10004218	Furniture	Chairs	Global Fabric Manager's Chair, Dark Gray	212.058	3	0.3	-15.147
41	CA-2015-117415	12/27/15	12/31/15	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	TEC-PH-10000486	Technology	Phones	Plantronics HL10 Handset Lifter	371.168	4	0.2	41.7564
42	CA-2017-120999	9/10/17	9/15/17	Standard Class	LC-16930	Linda Cazamias	Corporate	United States	Naperville	Illinois	60540	Central	TEC-PH-10004093	Technology	Phones	Panasonic Kx-TS550	147.168	4	0.2	16.5564
43	CA-2016-101343	7/17/16	7/22/16	Standard Class	RA-19885	Ruben Ausman	Corporate	United States	Los Angeles	California	90049	West	OFF-ST-10003479	Office Supplies	Storage	Eldon Base for stackable storage shelf, platinum	-77.88	2	0	3.894
44	CA-2017-139619	9/19/17	9/23/17	Standard Class	ES-14080	Erin Smith	Corporate	United States	Melbourne	Florida	32935	South	OFF-ST-10003282	Office Supplies	Storage	Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers	95.616	2	0.2	9.5616
45	CA-2016-118255	3/11/16	3/13/16	First Class	ON-18715	Odella Nelson	Corporate	United States	Eagan	Minnesota	55122	Central	TEC-AC-10000171	Technology	Accessories	Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack	45.98	2	0	19.7714
46	CA-2016-118255	3/11/16	3/13/16	First Class	ON-18715	Odella Nelson	Corporate	United States	Eagan	Minnesota	55122	Central	OFF-BI-10003291	Office Supplies	Binders	Wilson Jones Leather-Like Binders with DublLock Round Rings	17.46	2	0	8.2062
47	CA-2014-146703	10/20/14	10/25/14	Second Class	PO-18865	Patrick O'Donnell	Consumer	United States	Westland	Michigan	48185	Central	OFF-ST-10001713	Office Supplies	Storage	Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black	211.96	4	0	8.4784
48	CA-2016-169194	6/20/16	6/25/16	Standard Class	LH-16900	Lena Hernandez	Consumer	United States	Dover	Delaware	19901	East	TEC-AC-10002167	Technology	Accessories	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	45	3	0	4.95
